X Path Row ID Date Craft Sensor Type CloudCover Quality Month
616 147 47 LE71470472000337SGS00 2000-12-02 LANDSAT_7 ETM L1T 1 9 12
196 145 50 LE71450502000355SGS00 2000-12-20 LANDSAT_7 ETM L1T 0 9 12
260 145 51 LE71450512000355SGS00 2000-12-20 LANDSAT_7 ETM L1T 0 9 12
307 145 52 LE71450522000355SGS00 2000-12-20 LANDSAT_7 ETM L1T 2 9 12
773 147 49 LE71470492001003SGS00 2001-01-03 LANDSAT_7 ETM L1T 4 9 1
46 143 54 LE71430542001007SGS00 2001-01-07 LANDSAT_7 ETM L1T 10 9 1
881 148 46 LE71480462001010SGS00 2001-01-10 LANDSAT_7 ETM L1T 0 9 1
82 144 52 LE71440522001014SGS00 2001-01-14 LANDSAT_7 ETM L1T 0 9 1
120 144 53 LE71440532001014SGS00 2001-01-14 LANDSAT_7 ETM L1T 0 9 1
513 147 46 LE71470462001019SGS00 2001-01-19 LANDSAT_7 ETM L1T 3 9 1
617 147 47 LE71470472001019SGS00 2001-01-19 LANDSAT_7 ETM L1T 0 9 1
696 147 48 LE71470482001019SGS00 2001-01-19 LANDSAT_7 ETM L1T 0 9 1
197 145 50 LE71450502001037SGS00 2001-02-06 LANDSAT_7 ETM L1T 0 9 2
514 147 46 LE71470462001051SGS00 2001-02-20 LANDSAT_7 ETM L1T 0 9 2
774 147 49 LE71470492001051SGS00 2001-02-20 LANDSAT_7 ETM L1T 0 9 2
83 144 52 LE71440522001062SGS00 2001-03-03 LANDSAT_7 ETM L1T 0 9 3
121 144 53 LE71440532001062SGS00 2001-03-03 LANDSAT_7 ETM L1T 2 9 3
159 144 54 LE71440542001062SGS00 2001-03-03 LANDSAT_7 ETM L1T 1 9 3
618 147 47 LE71470472001083SGS00 2001-03-24 LANDSAT_7 ETM L1T 0 9 3
697 147 48 LE71470482001083SGS00 2001-03-24 LANDSAT_7 ETM L1T 0 9 3
775 147 49 LE71470492001083SGS00 2001-03-24 LANDSAT_7 ETM L1T 0 9 3
198 145 50 LE71450502001085SGS00 2001-03-26 LANDSAT_7 ETM L1T 0 9 3
261 145 51 LE71450512001085SGS00 2001-03-26 LANDSAT_7 ETM L1T 0 9 3
308 145 52 LE71450522001085SGS00 2001-03-26 LANDSAT_7 ETM L1T 0 9 3
882 148 46 LE71480462001090SGS00 2001-03-31 LANDSAT_7 ETM L1T 0 9 3
993 148 47 LE71480472001090SGS00 2001-03-31 LANDSAT_7 ETM L1T 0 9 3
348 146 47 LE71460472001092SGS00 2001-04-02 LANDSAT_7 ETM L1T 0 9 4
427 146 49 LE71460492001092SGS00 2001-04-02 LANDSAT_7 ETM L1T 0 9 4
498 146 50 LE71460502001092SGS00 2001-04-02 LANDSAT_7 ETM L1T 0 9 4
883 148 46 LE71480462001106SGS00 2001-04-16 LANDSAT_7 ETM L1T 0 9 4
515 147 46 LE71470462001115SGS00 2001-04-25 LANDSAT_7 ETM L1T 0 9 4
619 147 47 LE71470472001115SGS00 2001-04-25 LANDSAT_7 ETM L1T 0 9 4
199 145 50 LE71450502001117SGS00 2001-04-27 LANDSAT_7 ETM L1T 2 9 4
349 146 47 LE71460472001124SGS00 2001-05-04 LANDSAT_7 ETM L1T 0 9 5
428 146 49 LE71460492001124SGS00 2001-05-04 LANDSAT_7 ETM L1T 1 9 5
499 146 50 LE71460502001124SGS00 2001-05-04 LANDSAT_7 ETM L1T 7 9 5
516 147 46 LE71470462001131SGS00 2001-05-11 LANDSAT_7 ETM L1T 0 9 5
620 147 47 LE71470472001131SGS00 2001-05-11 LANDSAT_7 ETM L1T 0 9 5
698 147 48 LE71470482001131SGS01 2001-05-11 LANDSAT_7 ETM L1T 0 9 5
776 147 49 LE71470492001131SGS00 2001-05-11 LANDSAT_7 ETM L1T 3 9 5
200 145 50 LE71450502001133SGS00 2001-05-13 LANDSAT_7 ETM L1T 3 9 5
7 143 53 LE71430532001135SGS00 2001-05-15 LANDSAT_7 ETM L1T 3 9 5
160 144 54 LE71440542001222AGS00 2001-08-10 LANDSAT_7 ETM L1T 10 9 8
47 143 54 LE71430542001247SGS00 2001-09-04 LANDSAT_7 ETM L1T 1 9 9
517 147 46 LE71470462001291SGS00 2001-10-18 LANDSAT_7 ETM L1T 8 9 10
884 148 46 LE71480462001298SGS00 2001-10-25 LANDSAT_7 ETM L1T 0 9 10
994 148 47 LE71480472001298SGS00 2001-10-25 LANDSAT_7 ETM L1T 0 9 10
350 146 47 LE71460472001300SGS00 2001-10-27 LANDSAT_7 ETM L1T 0 9 10
429 146 49 LE71460492001300SGS00 2001-10-27 LANDSAT_7 ETM L1T 2 9 10
621 147 47 LE71470472001307SGS01 2001-11-03 LANDSAT_7 ETM L1T 0 9 11
699 147 48 LE71470482001307SGS01 2001-11-03 LANDSAT_7 ETM L1T 0 9 11
777 147 49 LE71470492001307SGS01 2001-11-03 LANDSAT_7 ETM L1T 0 9 11
201 145 50 LE71450502001309SGS00 2001-11-05 LANDSAT_7 ETM L1T 6 9 11
262 145 51 LE71450512001309SGS00 2001-11-05 LANDSAT_7 ETM L1T 6 9 11
84 144 52 LE71440522001334SGS00 2001-11-30 LANDSAT_7 ETM L1T 4 9 11
122 144 53 LE71440532001334SGS00 2001-11-30 LANDSAT_7 ETM L1T 10 9 11
161 144 54 LE71440542001334SGS00 2001-11-30 LANDSAT_7 ETM L1T 0 9 11
8 143 53 LE71430532001343SGS00 2001-12-09 LANDSAT_7 ETM L1T 2 9 12
48 143 54 LE71430542001343SGS00 2001-12-09 LANDSAT_7 ETM L1T 5 9 12
518 147 46 LE71470462001355SGS00 2001-12-21 LANDSAT_7 ETM L1T 2 9 12
885 148 46 LE71480462001362SGS00 2001-12-28 LANDSAT_7 ETM L1T 5 9 12
700 147 48 LE71470482002006SGS00 2002-01-06 LANDSAT_7 ETM L1T 0 9 1
778 147 49 LE71470492002006SGS00 2002-01-06 LANDSAT_7 ETM L1T 0 9 1
309 145 52 LE71450522002008SGS00 2002-01-08 LANDSAT_7 ETM L1T 9 9 1
351 146 47 LE71460472002015SGS00 2002-01-15 LANDSAT_7 ETM L1T 0 9 1
430 146 49 LE71460492002015SGS00 2002-01-15 LANDSAT_7 ETM L1T 1 9 1
202 145 50 LE71450502002024SGS00 2002-01-24 LANDSAT_7 ETM L1T 0 9 1
85 144 52 LE71440522002049SGS00 2002-02-18 LANDSAT_7 ETM L1T 1 9 2
123 144 53 LE71440532002049SGS00 2002-02-18 LANDSAT_7 ETM L1T 4 9 2
886 148 46 LE71480462002061SGS00 2002-03-02 LANDSAT_7 ETM L1T 0 9 3
995 148 47 LE71480472002061SGS00 2002-03-02 LANDSAT_7 ETM L1T 0 9 3
352 146 47 LE71460472002063SGS00 2002-03-04 LANDSAT_7 ETM L1T 0 9 3
431 146 49 LE71460492002079SGS00 2002-03-20 LANDSAT_7 ETM L1T 0 9 3
519 147 46 LE71470462002086SGS00 2002-03-27 LANDSAT_7 ETM L1T 0 9 3
622 147 47 LE71470472002086SGS00 2002-03-27 LANDSAT_7 ETM L1T 0 9 3
701 147 48 LE71470482002086SGS00 2002-03-27 LANDSAT_7 ETM L1T 0 9 3
779 147 49 LE71470492002086SGS00 2002-03-27 LANDSAT_7 ETM L1T 1 9 3
203 145 50 LE71450502002088SGS00 2002-03-29 LANDSAT_7 ETM L1T 0 9 3
263 145 51 LE71450512002088SGS00 2002-03-29 LANDSAT_7 ETM L1T 0 9 3
887 148 46 LE71480462002141SGS00 2002-05-21 LANDSAT_7 ETM L1T 10 9 5
996 148 47 LE71480472002141SGS00 2002-05-21 LANDSAT_7 ETM L1T 6 9 5
623 147 47 LE71470472002150SGS00 2002-05-30 LANDSAT_7 ETM L1T 10 9 5
353 146 47 LE71460472002159SGS01 2002-06-08 LANDSAT_7 ETM L1T 0 9 6
162 144 54 LE71440542002257SGS00 2002-09-14 LANDSAT_7 ETM L1T 9 9 9
702 147 48 LE71470482002262SGS00 2002-09-19 LANDSAT_7 ETM L1T 6 9 9
780 147 49 LE71470492002262SGS00 2002-09-19 LANDSAT_7 ETM L1T 7 9 9
204 145 50 LE71450502002264SGS00 2002-09-21 LANDSAT_7 ETM L1T 10 9 9
310 145 52 LE71450522002264SGS00 2002-09-21 LANDSAT_7 ETM L1T 9 9 9
520 147 46 LE71470462002278SGS00 2002-10-05 LANDSAT_7 ETM L1T 0 9 10
624 147 47 LE71470472002278SGS00 2002-10-05 LANDSAT_7 ETM L1T 0 9 10
888 148 46 LE71480462002301SGS00 2002-10-28 LANDSAT_7 ETM L1T 0 9 10
997 148 47 LE71480472002301SGS00 2002-10-28 LANDSAT_7 ETM L1T 0 9 10
625 147 47 LE71470472002310SGS00 2002-11-06 LANDSAT_7 ETM L1T 0 9 11
703 147 48 LE71470482002310SGS00 2002-11-06 LANDSAT_7 ETM L1T 0 9 11
781 147 49 LE71470492002310SGS00 2002-11-06 LANDSAT_7 ETM L1T 0 9 11
354 146 47 LE71460472002319SGS00 2002-11-15 LANDSAT_7 ETM L1T 0 9 11
432 146 49 LE71460492002319SGS00 2002-11-15 LANDSAT_7 ETM L1T 5 9 11
521 147 46 LE71470462002326SGS00 2002-11-22 LANDSAT_7 ETM L1T 0 9 11
86 144 52 LE71440522002337SGS00 2002-12-03 LANDSAT_7 ETM L1T 7 9 12
163 144 54 LE71440542002337SGS00 2002-12-03 LANDSAT_7 ETM L1T 5 9 12
205 145 50 LE71450502002344SGS00 2002-12-10 LANDSAT_7 ETM L1T 4 9 12
889 148 46 LE71480462002349SGS01 2002-12-15 LANDSAT_7 ETM L1T 0 9 12
998 148 47 LE71480472002349SGS01 2002-12-15 LANDSAT_7 ETM L1T 0 9 12
522 147 46 LE71470462002358SGS00 2002-12-24 LANDSAT_7 ETM L1T 0 9 12
626 147 47 LE71470472002358SGS00 2002-12-24 LANDSAT_7 ETM L1T 0 9 12
704 147 48 LE71470482002358SGS00 2002-12-24 LANDSAT_7 ETM L1T 0 9 12
782 147 49 LE71470492002358SGS00 2002-12-24 LANDSAT_7 ETM L1T 1 9 12
355 146 47 LE71460472003002SGS00 2003-01-02 LANDSAT_7 ETM L1T 0 9 1
433 146 49 LE71460492003002SGS00 2003-01-02 LANDSAT_7 ETM L1T 0 9 1
500 146 50 LE71460502003002SGS00 2003-01-02 LANDSAT_7 ETM L1T 6 9 1
705 147 48 LE71470482003025SGS00 2003-01-25 LANDSAT_7 ETM L1T 0 9 1
783 147 49 LE71470492003025SGS00 2003-01-25 LANDSAT_7 ETM L1T 0 9 1
206 145 50 LE71450502003027SGS00 2003-01-27 LANDSAT_7 ETM L1T 0 9 1
264 145 51 LE71450512003027SGS00 2003-01-27 LANDSAT_7 ETM L1T 0 9 1
311 145 52 LE71450522003027SGS00 2003-01-27 LANDSAT_7 ETM L1T 2 9 1
9 143 53 LE71430532003029SGS00 2003-01-29 LANDSAT_7 ETM L1T 3 9 1
49 143 54 LE71430542003029SGS00 2003-01-29 LANDSAT_7 ETM L1T 4 9 1
890 148 46 LE71480462003032SGS00 2003-02-01 LANDSAT_7 ETM L1T 0 9 2
523 147 46 LE71470462003041SGS00 2003-02-10 LANDSAT_7 ETM L1T 0 9 2
627 147 47 LE71470472003041SGS00 2003-02-10 LANDSAT_7 ETM L1T 0 9 2
356 146 47 LE71460472003050SGS01 2003-02-19 LANDSAT_7 ETM L1T 10 9 2
434 146 49 LE71460492003050SGS00 2003-02-19 LANDSAT_7 ETM L1T 0 9 2
501 146 50 LE71460502003050SGS00 2003-02-19 LANDSAT_7 ETM L1T 3 9 2
87 144 52 LE71440522003052SGS00 2003-02-21 LANDSAT_7 ETM L1T 1 9 2
124 144 53 LE71440532003052SGS00 2003-02-21 LANDSAT_7 ETM L1T 4 9 2
164 144 54 LE71440542003052SGS00 2003-02-21 LANDSAT_7 ETM L1T 9 9 2
706 147 48 LE71470482003057SGS00 2003-02-26 LANDSAT_7 ETM L1T 0 9 2
784 147 49 LE71470492003057SGS00 2003-02-26 LANDSAT_7 ETM L1T 0 9 2
891 148 46 LE71480462003064SGS00 2003-03-05 LANDSAT_7 ETM L1T 0 9 3
999 148 47 LE71480472003064SGS00 2003-03-05 LANDSAT_7 ETM L1T 0 9 3
207 145 50 LE71450502003075SGS00 2003-03-16 LANDSAT_7 ETM L1T 9 9 3
357 146 47 LE71460472003082ASN00 2003-03-23 LANDSAT_7 ETM L1T 0 9 3
435 146 49 LE71460492003082ASN00 2003-03-23 LANDSAT_7 ETM L1T 0 9 3
502 146 50 LE71460502003082ASN00 2003-03-23 LANDSAT_7 ETM L1T 0 9 3
524 147 46 LE71470462003089SGS00 2003-03-30 LANDSAT_7 ETM L1T 0 9 3
628 147 47 LE71470472003089SGS00 2003-03-30 LANDSAT_7 ETM L1T 0 9 3
707 147 48 LE71470482003089SGS00 2003-03-30 LANDSAT_7 ETM L1T 0 9 3
785 147 49 LE71470492003089SGS00 2003-03-30 LANDSAT_7 ETM L1T 0 9 3
208 145 50 LE71450502003091ASN00 2003-04-01 LANDSAT_7 ETM L1T 0 9 4
265 145 51 LE71450512003091ASN00 2003-04-01 LANDSAT_7 ETM L1T 9 9 4
892 148 46 LE71480462003112ASN00 2003-04-22 LANDSAT_7 ETM L1T 0 9 4
1000 148 47 LE71480472003112ASN00 2003-04-22 LANDSAT_7 ETM L1T 0 9 4
358 146 47 LE71460472003130ASN00 2003-05-10 LANDSAT_7 ETM L1T 0 9 5
436 146 49 LE71460492003130ASN00 2003-05-10 LANDSAT_7 ETM L1T 5 9 5
525 147 46 LE71470462003137ASN00 2003-05-17 LANDSAT_7 ETM L1T 0 9 5
209 145 50 LE71450502003139ASN00 2003-05-19 LANDSAT_7 ETM L1T 0 9 5
10 143 53 LE71430532003221ASN01 2003-08-09 LANDSAT_7 ETM L1T 5 9 8
893 148 46 LE71480462003288ASN01 2003-10-15 LANDSAT_7 ETM L1T 0 9 10
1001 148 47 LE71480472003288ASN01 2003-10-15 LANDSAT_7 ETM L1T 0 9 10
359 146 47 LE71460472003290ASN01 2003-10-17 LANDSAT_7 ETM L1T 0 9 10
437 146 49 LE71460492003290ASN01 2003-10-17 LANDSAT_7 ETM L1T 0 9 10
526 147 46 LE71470462003297ASN01 2003-10-24 LANDSAT_7 ETM L1T 0 9 10
629 147 47 LE71470472003297ASN01 2003-10-24 LANDSAT_7 ETM L1T 0 9 10
708 147 48 LE71470482003297ASN01 2003-10-24 LANDSAT_7 ETM L1T 0 9 10
266 145 51 LE71450512003299ASN01 2003-10-26 LANDSAT_7 ETM L1T 8 9 10
312 145 52 LE71450522003299ASN01 2003-10-26 LANDSAT_7 ETM L1T 1 9 10
165 144 54 LE71440542003308ASN01 2003-11-04 LANDSAT_7 ETM L1T 8 9 11
210 145 50 LE71450502003315ASN01 2003-11-11 LANDSAT_7 ETM L1T 0 9 11
267 145 51 LE71450512003315ASN01 2003-11-11 LANDSAT_7 ETM L1T 0 9 11
313 145 52 LE71450522003315ASN01 2003-11-11 LANDSAT_7 ETM L1T 0 9 11
438 146 49 LE71460492003322ASN01 2003-11-18 LANDSAT_7 ETM L1T 0 9 11
527 147 46 LE71470462003329ASN01 2003-11-25 LANDSAT_7 ETM L1T 0 9 11
630 147 47 LE71470472003329ASN01 2003-11-25 LANDSAT_7 ETM L1T 0 9 11
709 147 48 LE71470482003329ASN01 2003-11-25 LANDSAT_7 ETM L1T 0 9 11
786 147 49 LE71470492003329ASN01 2003-11-25 LANDSAT_7 ETM L1T 0 9 11
360 146 47 LE71460472003338ASN01 2003-12-04 LANDSAT_7 ETM L1T 0 9 12
439 146 49 LE71460492003338ASN01 2003-12-04 LANDSAT_7 ETM L1T 0 9 12
88 144 52 LE71440522003340ASN01 2003-12-06 LANDSAT_7 ETM L1T 4 9 12
125 144 53 LE71440532003340ASN01 2003-12-06 LANDSAT_7 ETM L1T 5 9 12
894 148 46 LE71480462003352ASN01 2003-12-18 LANDSAT_7 ETM L1T 0 9 12
1002 148 47 LE71480472003352ASN01 2003-12-18 LANDSAT_7 ETM L1T 0 9 12
166 144 54 LE71440542003356ASN01 2003-12-22 LANDSAT_7 ETM L1T 6 9 12
268 145 51 LE71450512003363ASN01 2003-12-29 LANDSAT_7 ETM L1T 0 9 12
314 145 52 LE71450522003363ASN01 2003-12-29 LANDSAT_7 ETM L1T 2 9 12
361 146 47 LE71460472004005ASN01 2004-01-05 LANDSAT_7 ETM L1T 0 9 1
528 147 46 LE71470462004012ASN01 2004-01-12 LANDSAT_7 ETM L1T 0 9 1
631 147 47 LE71470472004012ASN01 2004-01-12 LANDSAT_7 ETM L1T 0 9 1
710 147 48 LE71470482004012ASN01 2004-01-12 LANDSAT_7 ETM L1T 0 9 1
787 147 49 LE71470492004012ASN01 2004-01-12 LANDSAT_7 ETM L1T 0 9 1
211 145 50 LE71450502004014ASN01 2004-01-14 LANDSAT_7 ETM L1T 0 9 1
269 145 51 LE71450512004014ASN01 2004-01-14 LANDSAT_7 ETM L1T 0 9 1
315 145 52 LE71450522004014ASN01 2004-01-14 LANDSAT_7 ETM L1T 0 9 1
11 143 53 LE71430532004016ASN01 2004-01-16 LANDSAT_7 ETM L1T 2 9 1
50 143 54 LE71430542004016ASN01 2004-01-16 LANDSAT_7 ETM L1T 7 9 1
895 148 46 LE71480462004019ASN01 2004-01-19 LANDSAT_7 ETM L1T 0 9 1
896 148 46 LE71480462004035ASN01 2004-02-04 LANDSAT_7 ETM L1T 0 9 2
897 148 46 LE71480462004051ASN01 2004-02-20 LANDSAT_7 ETM L1T 0 9 2
362 146 47 LE71460472004053ASN01 2004-02-22 LANDSAT_7 ETM L1T 0 9 2
440 146 49 LE71460492004053ASN01 2004-02-22 LANDSAT_7 ETM L1T 0 9 2
89 144 52 LE71440522004055ASN01 2004-02-24 LANDSAT_7 ETM L1T 0 9 2
212 145 50 LE71450502004062ASN01 2004-03-02 LANDSAT_7 ETM L1T 0 9 3
12 143 53 LE71430532004064ASN01 2004-03-04 LANDSAT_7 ETM L1T 2 9 3
51 143 54 LE71430542004064ASN01 2004-03-04 LANDSAT_7 ETM L1T 3 9 3
90 144 52 LE71440522004071ASN01 2004-03-11 LANDSAT_7 ETM L1T 7 9 3
126 144 53 LE71440532004071ASN01 2004-03-11 LANDSAT_7 ETM L1T 4 9 3
529 147 46 LE71470462004076ASN02 2004-03-16 LANDSAT_7 ETM L1T 0 9 3
632 147 47 LE71470472004076ASN02 2004-03-16 LANDSAT_7 ETM L1T 0 9 3
711 147 48 LE71470482004076ASN02 2004-03-16 LANDSAT_7 ETM L1T 0 9 3
788 147 49 LE71470492004076ASN02 2004-03-16 LANDSAT_7 ETM L1T 0 9 3
270 145 51 LE71450512004078ASN01 2004-03-18 LANDSAT_7 ETM L1T 0 9 3
316 145 52 LE71450522004078ASN01 2004-03-18 LANDSAT_7 ETM L1T 0 9 3
898 148 46 LE71480462004083ASN01 2004-03-23 LANDSAT_7 ETM L1T 0 9 3
1003 148 47 LE71480472004083ASN01 2004-03-23 LANDSAT_7 ETM L1T 0 9 3
363 146 47 LE71460472004085ASN01 2004-03-25 LANDSAT_7 ETM L1T 0 9 3
441 146 49 LE71460492004085ASN02 2004-03-25 LANDSAT_7 ETM L1T 0 9 3
213 145 50 LE71450502004094ASN01 2004-04-03 LANDSAT_7 ETM L1T 4 9 4
271 145 51 LE71450512004094ASN01 2004-04-03 LANDSAT_7 ETM L1T 1 9 4
899 148 46 LE71480462004099ASN01 2004-04-08 LANDSAT_7 ETM L1T 4 9 4
1004 148 47 LE71480472004099ASN01 2004-04-08 LANDSAT_7 ETM L1T 1 9 4
364 146 47 LE71460472004101ASN01 2004-04-10 LANDSAT_7 ETM L1T 0 9 4
442 146 49 LE71460492004101ASN01 2004-04-10 LANDSAT_7 ETM L1T 0 9 4
91 144 52 LE71440522004103ASN01 2004-04-12 LANDSAT_7 ETM L1T 3 9 4
530 147 46 LE71470462004108ASN01 2004-04-17 LANDSAT_7 ETM L1T 1 9 4
633 147 47 LE71470472004108ASN01 2004-04-17 LANDSAT_7 ETM L1T 0 9 4
712 147 48 LE71470482004108ASN01 2004-04-17 LANDSAT_7 ETM L1T 0 9 4
789 147 49 LE71470492004108ASN01 2004-04-17 LANDSAT_7 ETM L1T 1 9 4
365 146 47 LE71460472004133PFS01 2004-05-12 LANDSAT_7 ETM L1T 1 9 5
900 148 46 LE71480462004147ASN02 2004-05-26 LANDSAT_7 ETM L1T 4 9 5
1005 148 47 LE71480472004147ASN02 2004-05-26 LANDSAT_7 ETM L1T 3 9 5
901 148 46 LE71480462004291PFS01 2004-10-17 LANDSAT_7 ETM L1T 1 9 10
1006 148 47 LE71480472004291PFS01 2004-10-17 LANDSAT_7 ETM L1T 0 9 10
366 146 47 LE71460472004293PFS01 2004-10-19 LANDSAT_7 ETM L1T 0 9 10
531 147 46 LE71470462004300PFS00 2004-10-26 LANDSAT_7 ETM L1T 0 9 10
634 147 47 LE71470472004300PFS00 2004-10-26 LANDSAT_7 ETM L1T 0 9 10
367 146 47 LE71460472004309PFS00 2004-11-04 LANDSAT_7 ETM L1T 0 9 11
532 147 46 LE71470462004316PFS00 2004-11-11 LANDSAT_7 ETM L1T 2 9 11
635 147 47 LE71470472004316PFS00 2004-11-11 LANDSAT_7 ETM L1T 9 9 11
1007 148 47 LE71480472004323ASN00 2004-11-18 LANDSAT_7 ETM L1T 0 9 11
443 146 49 LE71460492004325PFS00 2004-11-20 LANDSAT_7 ETM L1T 0 9 11
