Path Row ID Date
144 054 LE71440542006060PFS00 2006-03-01
147 046 LE71470462006065PFS00 2006-03-06
147 047 LE71470472006065PFS00 2006-03-06
147 048 LE71470482006065PFS00 2006-03-06
147 049 LE71470492006065ASN00 2006-03-06
145 051 LE71450512006067ASN00 2006-03-08
146 047 LE71460472006074PFS00 2006-03-15
146 049 LE71460492006074PFS00 2006-03-15
147 046 LE71470462006081PFS00 2006-03-22
145 050 LE71450502006083ASN00 2006-03-24
143 053 LE71430532006085PFS00 2006-03-26
147 046 LE71470462006097ASN00 2006-04-07
147 047 LE71470472006097ASN00 2006-04-07
147 048 LE71470482006097ASN00 2006-04-07
147 049 LE71470492006097ASN00 2006-04-07
145 050 LE71450502006099PFS00 2006-04-09
143 053 LE71430532006101PFS00 2006-04-11
146 047 LE71460472006106ASN00 2006-04-16
148 046 LE71480462006120PFS05 2006-04-30
146 047 LE71460472006122PFS00 2006-05-02
146 049 LE71460492006122PFS00 2006-05-02
147 046 LE71470462006129PFS00 2006-05-09
143 053 LE71430532006133ASN00 2006-05-13
148 046 LE71480462006136PFS00 2006-05-16
145 052 LE71450522006163ASN00 2006-06-12
